MODEL YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL TYPE,FUEL CONSUMPTION CITY,FUEL CONSUMPTION HWY,FUEL CONSUMPTION COMB,FUEL CONSUMPTION COMB,CO2 EMISSIONS,CO2 RATING,SMOG RATING
2019,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,9.9,8.1,9.1,31,214,5,5
2019,BUICK,ENCORE AWD (SIDI with Stop/Start),SUV - SMALL,1.4,4,AS6,X,9.4,7.9,8.8,32,205,6,3
2019,BUICK,ENVISION AWD,SUV - SMALL,2,4,A9,Z,11.7,9.4,10.7,26,249,4,5
2019,BUICK,ENVISION AWD,SUV - SMALL,2.5,4,A6,X,11.1,8.6,10,28,234,5,5
2019,BUICK,LACROSSE,MID-SIZE,3.6,6,AS9,X,11.7,7.8,9.9,29,233,5,5
2019,BUICK,LACROSSE eASSIST,MID-SIZE,2.5,4,AS6,X,9.4,6.8,8.2,34,192,6,5
2019,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS9,X,11.7,8.2,10.1,28,238,5,5
2019,BUICK,REGAL,MID-SIZE,2,4,AS9,Z,10.6,7.4,9.1,31,214,5,5
2019,BUICK,REGAL AWD,MID-SIZE,2,4,AS8,Z,11,8,9.6,29,227,5,5
2019,BUICK,REGAL AWD,MID-SIZE,3.6,6,AS9,X,12.4,8.7,10.7,26,251,4,5
2019,CADILLAC,CT6 AWD,FULL-SIZE,3.6,6,AS10,X,13,8.8,11.1,25,261,4,5
2019,CADILLAC,CT6 Vsport AWD,FULL-SIZE,3,6,AS10,Z,13.1,9.1,11.3,25,267,4,3
2019,CADILLAC,CTS,MID-SIZE,2,4,AS8,Z,11,7.8,9.5,30,222,5,5
2019,CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,12.3,8.2,10.5,27,246,4,5
2019,CADILLAC,CTS AWD,MID-SIZE,2,4,AS8,Z,11.4,8.1,9.9,29,232,5,5
2019,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS8,X,13.3,9.2,11.5,25,269,4,5
2019,CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,15,9.9,12.7,22,298,3,3
2019,CADILLAC,CTS-V,MID-SIZE,6.2,8,AS8,Z,17.1,11,14.3,20,337,2,1
2019,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A10,Z,16.6,10.9,14,20,328,3,3
2019,CADILLAC,XT4,SUV - SMALL,2,4,AS9,Z,9.8,7.8,8.9,32,209,5,6
2019,CADILLAC,XT4 AWD,SUV - SMALL,2,4,AS9,Z,10.9,8.2,9.7,29,227,5,6
2019,CADILLAC,XT5,SUV - SMALL,3.6,6,AS8,X,12.1,8.9,10.6,27,250,4,6
2019,CADILLAC,XT5 AWD,SUV - SMALL,3.6,6,AS8,X,12.8,9.3,11.2,25,263,4,6
2019,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,12.9,8.7,11,26,259,4,5
2019,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,13.7,9,11.6,24,272,4,5
2019,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,15,10.1,12.8,22,302,3,3
2019,CHEVROLET,BLAZER,SUV - SMALL,2.5,4,A9,X,10.8,8.8,9.9,29,232,5,5
2019,CHEVROLET,BLAZER,SUV - SMALL,3.6,6,A9,X,12,9,10.6,27,250,4,6
2019,CHEVROLET,BLAZER AWD,SUV - SMALL,3.6,6,A9,X,12.7,9.5,11.3,25,265,4,6
2019,CHEVROLET,CAMARO,SUBCOMPACT,2,4,AS8,Z,10.8,7.7,9.4,30,220,5,5
2019,CHEVROLET,CAMARO,SUBCOMPACT,2,4,M6,Z,11.9,7.9,10.1,28,235,5,5
